"panel","case","series","ms","usable","session","format","window","censored","metric","lo","hi"
"Cold load","20x short read","This work",1677,TRUE,"cross-tool","BAM","19kb",FALSE,NA,1611,1704
"Cold load","20x short read","Release 4.3.0",2788,TRUE,"cross-tool","BAM","19kb",FALSE,NA,2588,2885
"Cold load","20x short read","Release 2.4.0",2557,TRUE,"cross-tool","BAM","19kb",FALSE,NA,2544,2723
"Cold load","20x short read","igv.js 3.8.5",1485,TRUE,"cross-tool","BAM","19kb",FALSE,NA,1426,1652
"Cold load","20x short read","GenomeSpy 0.85.0",1389,TRUE,"cross-tool","BAM","19kb",FALSE,NA,1322,1393
"Cold load","20x short read","Gosling 1.0.7",2429,TRUE,"cross-tool","BAM","19kb",FALSE,NA,2378,2448
"Cold load","20x short read","This work",1746,TRUE,"cross-tool","BAM","100kb",FALSE,NA,1731,1819
"Cold load","20x short read","Release 4.3.0",3265,TRUE,"cross-tool","BAM","100kb",FALSE,NA,3198,3274
"Cold load","20x short read","Release 2.4.0",4154,TRUE,"cross-tool","BAM","100kb",FALSE,NA,4134,4411
"Cold load","20x short read","igv.js 3.8.5",2916,TRUE,"cross-tool","BAM","100kb",FALSE,NA,2754,2928
"Cold load","20x short read","GenomeSpy 0.85.0",2120,TRUE,"cross-tool","BAM","100kb",FALSE,NA,2062,2164
"Cold load","20x short read","This work",1758,TRUE,"cross-tool","CRAM","19kb",FALSE,NA,1501,1836
"Cold load","20x short read","Release 4.3.0",2629,TRUE,"cross-tool","CRAM","19kb",FALSE,NA,2628,2742
"Cold load","20x short read","Release 2.4.0",3781,TRUE,"cross-tool","CRAM","19kb",FALSE,NA,3769,3978
"Cold load","20x short read","igv.js 3.8.5",1604,TRUE,"cross-tool","CRAM","19kb",FALSE,NA,1468,1755
"Cold load","20x short read","This work",1752,TRUE,"cross-tool","CRAM","100kb",FALSE,NA,1709,1789
"Cold load","20x short read","Release 4.3.0",3108,TRUE,"cross-tool","CRAM","100kb",FALSE,NA,3055,3317
"Cold load","20x short read","Release 2.4.0",5237,TRUE,"cross-tool","CRAM","100kb",FALSE,NA,5221,5417
"Cold load","20x short read","igv.js 3.8.5",2976,TRUE,"cross-tool","CRAM","100kb",FALSE,NA,2951,3013
"Cold load","200x short read","This work",1785,TRUE,"cross-tool","BAM","19kb",FALSE,NA,1747,1788
"Cold load","200x short read","Release 4.3.0",3276,TRUE,"cross-tool","BAM","19kb",FALSE,NA,3252,3314
"Cold load","200x short read","Release 2.4.0",4244,TRUE,"cross-tool","BAM","19kb",FALSE,NA,4211,4251
"Cold load","200x short read","igv.js 3.8.5",5256,TRUE,"cross-tool","BAM","19kb",FALSE,NA,5060,5500
"Cold load","200x short read","GenomeSpy 0.85.0",2462,TRUE,"cross-tool","BAM","19kb",FALSE,NA,2418,2475
"Cold load","200x short read","Gosling 1.0.7",51947,TRUE,"cross-tool","BAM","19kb",FALSE,NA,51048,52606
"Cold load","200x short read","This work",2751,TRUE,"cross-tool","BAM","100kb",FALSE,NA,2591,2791
"Cold load","200x short read","Release 4.3.0",5253,TRUE,"cross-tool","BAM","100kb",FALSE,NA,5161,5274
"Cold load","200x short read","Release 2.4.0",13363,TRUE,"cross-tool","BAM","100kb",FALSE,NA,13150,13646
"Cold load","200x short read","igv.js 3.8.5",18788,TRUE,"cross-tool","BAM","100kb",FALSE,NA,18145,18823
"Cold load","200x short read","GenomeSpy 0.85.0",7787,TRUE,"cross-tool","BAM","100kb",FALSE,NA,7653,7937
"Cold load","200x short read","This work",1905,TRUE,"cross-tool","CRAM","19kb",FALSE,NA,1732,1958
"Cold load","200x short read","Release 4.3.0",3086,TRUE,"cross-tool","CRAM","19kb",FALSE,NA,2950,3367
"Cold load","200x short read","Release 2.4.0",5157,TRUE,"cross-tool","CRAM","19kb",FALSE,NA,5082,5350
"Cold load","200x short read","igv.js 3.8.5",5248,TRUE,"cross-tool","CRAM","19kb",FALSE,NA,5215,5559
"Cold load","200x short read","This work",2673,TRUE,"cross-tool","CRAM","100kb",FALSE,NA,2644,2777
"Cold load","200x short read","Release 4.3.0",6571,TRUE,"cross-tool","CRAM","100kb",FALSE,NA,6558,6576
"Cold load","200x short read","Release 2.4.0",16717,TRUE,"cross-tool","CRAM","100kb",FALSE,NA,16665,18050
"Cold load","200x short read","igv.js 3.8.5",19010,TRUE,"cross-tool","CRAM","100kb",FALSE,NA,18726,19110
"Cold load","1000x short read","This work",2601,TRUE,"cross-tool","BAM","19kb",FALSE,NA,2580,2750
"Cold load","1000x short read","Release 4.3.0",4945,TRUE,"cross-tool","BAM","19kb",FALSE,NA,4860,4963
"Cold load","1000x short read","Release 2.4.0",10773,TRUE,"cross-tool","BAM","19kb",FALSE,NA,10714,10878
"Cold load","1000x short read","igv.js 3.8.5",26694,TRUE,"cross-tool","BAM","19kb",FALSE,NA,26073,27460
"Cold load","1000x short read","GenomeSpy 0.85.0",5692,TRUE,"cross-tool","BAM","19kb",FALSE,NA,5688,5853
"Cold load","1000x short read","Gosling 1.0.7",120000,TRUE,"cross-tool","BAM","19kb",TRUE,NA,NA,NA
"Cold load","1000x short read","This work",6858,TRUE,"cross-tool","BAM","100kb",FALSE,NA,6775,7108
"Cold load","1000x short read","Release 4.3.0",13763,TRUE,"cross-tool","BAM","100kb",FALSE,NA,13596,13856
"Cold load","1000x short read","Release 2.4.0",57951,TRUE,"cross-tool","BAM","100kb",FALSE,NA,56582,58665
"Cold load","1000x short read","igv.js 3.8.5",111387,TRUE,"cross-tool","BAM","100kb",FALSE,NA,110668,112845
"Cold load","1000x short read","GenomeSpy 0.85.0",30566,TRUE,"cross-tool","BAM","100kb",FALSE,NA,30397,30739
"Cold load","1000x short read","This work",2428,TRUE,"cross-tool","CRAM","19kb",FALSE,NA,2375,2462
"Cold load","1000x short read","Release 4.3.0",5892,TRUE,"cross-tool","CRAM","19kb",FALSE,NA,5838,6016
"Cold load","1000x short read","Release 2.4.0",13079,TRUE,"cross-tool","CRAM","19kb",FALSE,NA,13056,13375
"Cold load","1000x short read","igv.js 3.8.5",26770,TRUE,"cross-tool","CRAM","19kb",FALSE,NA,26719,27724
"Cold load","1000x short read","This work",5770,TRUE,"cross-tool","CRAM","100kb",FALSE,NA,5607,5815
"Cold load","1000x short read","Release 4.3.0",19356,TRUE,"cross-tool","CRAM","100kb",FALSE,NA,19088,20072
"Cold load","1000x short read","Release 2.4.0",57907,TRUE,"cross-tool","CRAM","100kb",FALSE,NA,56610,59128
"Cold load","1000x short read","igv.js 3.8.5",128328,TRUE,"cross-tool","CRAM","100kb",FALSE,NA,127665,129311
"Cold load","20x long read","This work",1717,TRUE,"cross-tool","BAM","19kb",FALSE,NA,1640,1811
"Cold load","20x long read","Release 4.3.0",2980,TRUE,"cross-tool","BAM","19kb",FALSE,NA,2923,3010
"Cold load","20x long read","Release 2.4.0",3333,TRUE,"cross-tool","BAM","19kb",FALSE,NA,3218,3363
"Cold load","20x long read","igv.js 3.8.5",3456,TRUE,"cross-tool","BAM","19kb",FALSE,NA,3439,3638
"Cold load","20x long read","GenomeSpy 0.85.0",4735,TRUE,"cross-tool","BAM","19kb",FALSE,NA,4686,5443
"Cold load","20x long read","Gosling 1.0.7",120000,TRUE,"cross-tool","BAM","19kb",TRUE,NA,NA,NA
"Cold load","20x long read","This work",1975,TRUE,"cross-tool","BAM","100kb",FALSE,NA,1947,2069
"Cold load","20x long read","Release 4.3.0",3998,TRUE,"cross-tool","BAM","100kb",FALSE,NA,3887,4160
"Cold load","20x long read","Release 2.4.0",4836,TRUE,"cross-tool","BAM","100kb",FALSE,NA,4730,4938
"Cold load","20x long read","igv.js 3.8.5",7738,TRUE,"cross-tool","BAM","100kb",FALSE,NA,7655,7911
"Cold load","20x long read","GenomeSpy 0.85.0",11519,TRUE,"cross-tool","BAM","100kb",FALSE,NA,11500,11786
"Cold load","20x long read","This work",1710,TRUE,"cross-tool","CRAM","19kb",FALSE,NA,1637,1736
"Cold load","20x long read","Release 4.3.0",2682,TRUE,"cross-tool","CRAM","19kb",FALSE,NA,2668,3129
"Cold load","20x long read","Release 2.4.0",4002,TRUE,"cross-tool","CRAM","19kb",FALSE,NA,3970,4085
"Cold load","20x long read","igv.js 3.8.5",3540,TRUE,"cross-tool","CRAM","19kb",FALSE,NA,3359,3606
"Cold load","20x long read","This work",1925,TRUE,"cross-tool","CRAM","100kb",FALSE,NA,1907,2098
"Cold load","20x long read","Release 4.3.0",3629,TRUE,"cross-tool","CRAM","100kb",FALSE,NA,3399,3960
"Cold load","20x long read","Release 2.4.0",5429,TRUE,"cross-tool","CRAM","100kb",FALSE,NA,5410,5520
"Cold load","20x long read","igv.js 3.8.5",7622,TRUE,"cross-tool","CRAM","100kb",FALSE,NA,7612,7752
"Cold load","200x long read","This work",2237,TRUE,"cross-tool","BAM","19kb",FALSE,NA,2158,2252
"Cold load","200x long read","Release 4.3.0",6299,TRUE,"cross-tool","BAM","19kb",FALSE,NA,6087,6320
"Cold load","200x long read","Release 2.4.0",9077,TRUE,"cross-tool","BAM","19kb",FALSE,NA,8920,9233
"Cold load","200x long read","igv.js 3.8.5",18320,TRUE,"cross-tool","BAM","19kb",FALSE,NA,17549,18611
"Cold load","200x long read","GenomeSpy 0.85.0",42133,TRUE,"cross-tool","BAM","19kb",FALSE,NA,41521,43665
"Cold load","200x long read","Gosling 1.0.7",120000,TRUE,"cross-tool","BAM","19kb",TRUE,NA,NA,NA
"Cold load","200x long read","This work",3737,TRUE,"cross-tool","BAM","100kb",FALSE,NA,3669,3855
"Cold load","200x long read","Release 4.3.0",7878,TRUE,"cross-tool","BAM","100kb",FALSE,NA,7825,8104
"Cold load","200x long read","Release 2.4.0",17545,TRUE,"cross-tool","BAM","100kb",FALSE,NA,17364,17966
"Cold load","200x long read","igv.js 3.8.5",40498,TRUE,"cross-tool","BAM","100kb",FALSE,NA,39560,41170
"Cold load","200x long read","GenomeSpy 0.85.0",105342,TRUE,"cross-tool","BAM","100kb",FALSE,NA,104671,109549
"Cold load","200x long read","This work",2265,TRUE,"cross-tool","CRAM","19kb",FALSE,NA,2247,2450
"Cold load","200x long read","Release 4.3.0",4003,TRUE,"cross-tool","CRAM","19kb",FALSE,NA,3864,4112
"Cold load","200x long read","Release 2.4.0",7507,TRUE,"cross-tool","CRAM","19kb",FALSE,NA,7368,7670
"Cold load","200x long read","igv.js 3.8.5",17779,TRUE,"cross-tool","CRAM","19kb",FALSE,NA,17760,17823
"Cold load","200x long read","This work",3882,TRUE,"cross-tool","CRAM","100kb",FALSE,NA,3864,3898
"Cold load","200x long read","Release 4.3.0",6518,TRUE,"cross-tool","CRAM","100kb",FALSE,NA,6421,6574
"Cold load","200x long read","Release 2.4.0",16197,TRUE,"cross-tool","CRAM","100kb",FALSE,NA,16061,16230
"Cold load","200x long read","igv.js 3.8.5",39809,TRUE,"cross-tool","CRAM","100kb",FALSE,NA,39803,41511
"Cold load","1000x long read","This work",4640,TRUE,"cross-tool","BAM","19kb",FALSE,NA,4601,4774
"Cold load","1000x long read","Release 4.3.0",17296,TRUE,"cross-tool","BAM","19kb",FALSE,NA,17149,19492
"Cold load","1000x long read","Release 2.4.0",34187,TRUE,"cross-tool","BAM","19kb",FALSE,NA,33714,34909
"Cold load","1000x long read","igv.js 3.8.5",55068,TRUE,"cross-tool","BAM","19kb",FALSE,NA,54157,55273
"Cold load","1000x long read","GenomeSpy 0.85.0",120000,TRUE,"cross-tool","BAM","19kb",TRUE,NA,NA,NA
"Cold load","1000x long read","Gosling 1.0.7",120000,TRUE,"cross-tool","BAM","19kb",TRUE,NA,NA,NA
"Cold load","1000x long read","This work",10665,TRUE,"cross-tool","BAM","100kb",FALSE,NA,10579,11158
"Cold load","1000x long read","Release 4.3.0",24999,TRUE,"cross-tool","BAM","100kb",FALSE,NA,24370,25013
"Cold load","1000x long read","Release 2.4.0",60285,TRUE,"cross-tool","BAM","100kb",FALSE,NA,59906,61429
"Cold load","1000x long read","igv.js 3.8.5",631579,TRUE,"cross-tool","BAM","100kb",TRUE,NA,NA,NA
"Cold load","1000x long read","GenomeSpy 0.85.0",631579,TRUE,"cross-tool","BAM","100kb",TRUE,NA,NA,NA
"Cold load","1000x long read","This work",4391,TRUE,"cross-tool","CRAM","19kb",FALSE,NA,4233,4431
"Cold load","1000x long read","Release 4.3.0",8917,TRUE,"cross-tool","CRAM","19kb",FALSE,NA,8894,9066
"Cold load","1000x long read","Release 2.4.0",22242,TRUE,"cross-tool","CRAM","19kb",FALSE,NA,22131,22664
"Cold load","1000x long read","igv.js 3.8.5",53567,TRUE,"cross-tool","CRAM","19kb",FALSE,NA,53321,53572
"Cold load","1000x long read","This work",11212,TRUE,"cross-tool","CRAM","100kb",FALSE,NA,11193,11304
"Cold load","1000x long read","Release 4.3.0",18466,TRUE,"cross-tool","CRAM","100kb",FALSE,NA,18397,18921
"Cold load","1000x long read","Release 2.4.0",56463,TRUE,"cross-tool","CRAM","100kb",FALSE,NA,55856,68750
"Cold load","1000x long read","igv.js 3.8.5",631579,TRUE,"cross-tool","CRAM","100kb",TRUE,NA,NA,NA
"Zoom in, both hold the data","20x short read","This work",6.79999999888241,TRUE,"cross-tool motion","BAM",NA,FALSE,"what the user waits",6.69999999925494,7.20000000111759
"Zoom in, both hold the data","20x short read","This work",2.70000000111759,TRUE,"cross-tool motion","BAM",NA,FALSE,"what the renderer did",2.5,2.90000000037253
"Zoom in, both hold the data","20x short read","Release 4.3.0",1108.80000000075,TRUE,"cross-tool motion","BAM",NA,FALSE,"what the user waits",1100.89999999851,1110.40000000037
"Zoom in, both hold the data","20x short read","Release 4.3.0",20.0999999996275,TRUE,"cross-tool motion","BAM",NA,FALSE,"what the renderer did",18.5,25.8999999985099
"Zoom in, both hold the data","20x short read","Release 2.4.0",1115.80000000075,TRUE,"cross-tool motion","BAM",NA,FALSE,"what the user waits",1114,1118.79999999888
"Zoom in, both hold the data","20x short read","Release 2.4.0",53.1999999992549,TRUE,"cross-tool motion","BAM",NA,FALSE,"what the renderer did",49.4000000003725,65.1999999992549
"Zoom in, both hold the data","20x short read","igv.js 3.8.5",46.9000000003725,TRUE,"cross-tool motion","BAM",NA,FALSE,"what the user waits",43.8999999985099,56.9000000003725
"Zoom in, both hold the data","20x short read","igv.js 3.8.5",45.6999999992549,TRUE,"cross-tool motion","BAM",NA,FALSE,"what the renderer did",35.0999999996275,51.9000000003725
"Zoom in, both hold the data","20x short read","GenomeSpy 0.85.0",8.70000000111759,TRUE,"cross-tool motion","BAM",NA,FALSE,"what the user waits",5.90000000037253,8.80000000074506
"Zoom in, both hold the data","20x short read","GenomeSpy 0.85.0",0.700000001117587,TRUE,"cross-tool motion","BAM",NA,FALSE,"what the renderer did",0.699999999254942,0.700000001117587
"Zoom in, both hold the data","200x short read","This work",7,TRUE,"cross-tool motion","BAM",NA,FALSE,"what the user waits",7,7.5
"Zoom in, both hold the data","200x short read","This work",2.5,TRUE,"cross-tool motion","BAM",NA,FALSE,"what the renderer did",2.5,2.69999999925494
"Zoom in, both hold the data","200x short read","Release 4.3.0",1181.09999999963,TRUE,"cross-tool motion","BAM",NA,FALSE,"what the user waits",1125.59999999963,1201.09999999963
"Zoom in, both hold the data","200x short read","Release 4.3.0",96.8000000007451,TRUE,"cross-tool motion","BAM",NA,FALSE,"what the renderer did",53.0999999996275,104.700000001118
"Zoom in, both hold the data","200x short read","Release 2.4.0",1138,TRUE,"cross-tool motion","BAM",NA,FALSE,"what the user waits",1122.59999999963,1164.19999999925
"Zoom in, both hold the data","200x short read","Release 2.4.0",13.4000000003725,TRUE,"cross-tool motion","BAM",NA,FALSE,"what the renderer did",12.6999999992549,33.1000000014901
"Zoom in, both hold the data","200x short read","igv.js 3.8.5",88.0999999996275,TRUE,"cross-tool motion","BAM",NA,FALSE,"what the user waits",83.5,119.900000000373
"Zoom in, both hold the data","200x short read","igv.js 3.8.5",83.5,TRUE,"cross-tool motion","BAM",NA,FALSE,"what the renderer did",79.1999999992549,115
"Zoom in, both hold the data","200x short read","GenomeSpy 0.85.0",8.79999999888241,TRUE,"cross-tool motion","BAM",NA,FALSE,"what the user waits",4.30000000074506,9.40000000037253
"Zoom in, both hold the data","200x short read","GenomeSpy 0.85.0",0.700000001117587,TRUE,"cross-tool motion","BAM",NA,FALSE,"what the renderer did",0.700000001117587,0.799999998882413
"Zoom in, both hold the data","1000x short read","This work",7.59999999962747,TRUE,"cross-tool motion","BAM",NA,FALSE,"what the user waits",7.59999999962747,7.80000000074506
"Zoom in, both hold the data","1000x short read","This work",2.10000000149012,TRUE,"cross-tool motion","BAM",NA,FALSE,"what the renderer did",2.09999999962747,2.5
"Zoom in, both hold the data","1000x short read","Release 4.3.0",1657.20000000112,TRUE,"cross-tool motion","BAM",NA,FALSE,"what the user waits",1616.5,1705.70000000112
"Zoom in, both hold the data","1000x short read","Release 4.3.0",0.099999999627471,TRUE,"cross-tool motion","BAM",NA,FALSE,"what the renderer did",0,0.100000001490116
"Zoom in, both hold the data","1000x short read","Release 2.4.0",2002.09999999963,TRUE,"cross-tool motion","BAM",NA,FALSE,"what the user waits",1951.79999999888,2014
"Zoom in, both hold the data","1000x short read","Release 2.4.0",0,TRUE,"cross-tool motion","BAM",NA,FALSE,"what the renderer did",0,0
"Zoom in, both hold the data","1000x short read","igv.js 3.8.5",85.7999999988824,TRUE,"cross-tool motion","BAM",NA,FALSE,"what the user waits",83.0999999996275,117.89999999851
"Zoom in, both hold the data","1000x short read","igv.js 3.8.5",81.3999999985099,TRUE,"cross-tool motion","BAM",NA,FALSE,"what the renderer did",78.5999999996275,113.5
"Zoom in, both hold the data","1000x short read","GenomeSpy 0.85.0",9.09999999962747,TRUE,"cross-tool motion","BAM",NA,FALSE,"what the user waits",8,9.19999999925494
"Zoom in, both hold the data","1000x short read","GenomeSpy 0.85.0",0.600000001490116,TRUE,"cross-tool motion","BAM",NA,FALSE,"what the renderer did",0.599999999627471,0.699999999254942
"Zoom in, both hold the data","20x long read","This work",7.90000000037253,TRUE,"cross-tool motion","BAM",NA,FALSE,"what the user waits",4.40000000037253,9.59999999962747
"Zoom in, both hold the data","20x long read","This work",2.80000000074506,TRUE,"cross-tool motion","BAM",NA,FALSE,"what the renderer did",1.40000000037253,3.30000000074506
"Zoom in, both hold the data","20x long read","Release 4.3.0",1201.10000000149,TRUE,"cross-tool motion","BAM",NA,FALSE,"what the user waits",1200.40000000037,1205.20000000112
"Zoom in, both hold the data","20x long read","Release 4.3.0",94.2000000011176,TRUE,"cross-tool motion","BAM",NA,FALSE,"what the renderer did",92.2000000011176,96.8999999985099
"Zoom in, both hold the data","20x long read","Release 2.4.0",1232.09999999776,TRUE,"cross-tool motion","BAM",NA,FALSE,"what the user waits",1227.10000000149,1244.20000000112
"Zoom in, both hold the data","20x long read","Release 2.4.0",55.6999999992549,TRUE,"cross-tool motion","BAM",NA,FALSE,"what the renderer did",55.6000000014901,62
"Zoom in, both hold the data","20x long read","igv.js 3.8.5",230.700000001118,TRUE,"cross-tool motion","BAM",NA,FALSE,"what the user waits",227.099999999627,233.39999999851
"Zoom in, both hold the data","20x long read","igv.js 3.8.5",226.300000000745,TRUE,"cross-tool motion","BAM",NA,FALSE,"what the renderer did",225.400000000373,228.599999997765
"Zoom in, both hold the data","20x long read","GenomeSpy 0.85.0",8.90000000223517,TRUE,"cross-tool motion","BAM",NA,FALSE,"what the user waits",5.29999999888241,9
"Zoom in, both hold the data","20x long read","GenomeSpy 0.85.0",0.800000000745058,TRUE,"cross-tool motion","BAM",NA,FALSE,"what the renderer did",0.800000000745058,0.900000000372529
"Zoom in, both hold the data","200x long read","This work",19.3000000007451,TRUE,"cross-tool motion","BAM",NA,FALSE,"what the user waits",19.1000000014901,25.6000000014901
"Zoom in, both hold the data","200x long read","This work",1.20000000298023,TRUE,"cross-tool motion","BAM",NA,FALSE,"what the renderer did",0.900000002235174,2.19999999925494
"Zoom in, both hold the data","200x long read","Release 4.3.0",3251.59999999776,TRUE,"cross-tool motion","BAM",NA,FALSE,"what the user waits",3196.79999999702,3288.5
"Zoom in, both hold the data","200x long read","Release 4.3.0",0.0999999977648258,TRUE,"cross-tool motion","BAM",NA,FALSE,"what the renderer did",0,0.100000001490116
"Zoom in, both hold the data","200x long read","Release 2.4.0",3592,TRUE,"cross-tool motion","BAM",NA,FALSE,"what the user waits",3443.19999999925,3669.30000000075
"Zoom in, both hold the data","200x long read","Release 2.4.0",0,TRUE,"cross-tool motion","BAM",NA,FALSE,"what the renderer did",0,0
"Zoom in, both hold the data","200x long read","igv.js 3.8.5",1249.5,TRUE,"cross-tool motion","BAM",NA,FALSE,"what the user waits",1244.80000000075,1320.29999999702
"Zoom in, both hold the data","200x long read","igv.js 3.8.5",1245.19999999925,TRUE,"cross-tool motion","BAM",NA,FALSE,"what the renderer did",1240.70000000298,1315.79999999702
"Zoom in, both hold the data","200x long read","GenomeSpy 0.85.0",9.40000000223517,TRUE,"cross-tool motion","BAM",NA,FALSE,"what the user waits",8.69999999925494,9.40000000223517
"Zoom in, both hold the data","200x long read","GenomeSpy 0.85.0",0.700000002980232,TRUE,"cross-tool motion","BAM",NA,FALSE,"what the renderer did",0.599999997764826,0.900000002235174
"Zoom in, both hold the data","1000x long read","This work",29.2000000029802,TRUE,"cross-tool motion","BAM",NA,FALSE,"what the user waits",27,29.2999999970198
"Zoom in, both hold the data","1000x long read","This work",1.10000000149012,TRUE,"cross-tool motion","BAM",NA,FALSE,"what the renderer did",1.09999999776483,1.19999999925494
"Zoom in, both hold the data","1000x long read","Release 4.3.0",8998,TRUE,"cross-tool motion","BAM",NA,FALSE,"what the user waits",7730.09999999776,9850.09999999776
