encoding,mb,px
coarsened,10.0190,0.1709
coarsened,10.0459,-0.2264
coarsened,10.0729,0.3078
coarsened,10.0999,0.2364
coarsened,10.1268,0.2445
coarsened,10.1538,0.2871
coarsened,10.1808,0.2110
coarsened,10.2077,0.2707
coarsened,10.2347,0.3033
coarsened,10.2617,0.3244
coarsened,10.2886,0.2873
coarsened,10.3156,-0.4508
coarsened,10.3426,-0.4803
coarsened,10.3695,-0.1877
coarsened,10.3965,-0.3258
coarsened,10.4235,0.1410
coarsened,10.4505,-0.2518
coarsened,10.4774,0.2387
coarsened,10.5044,0.2714
coarsened,10.5314,-0.3264
coarsened,10.5583,-0.3437
coarsened,10.5853,0.3034
coarsened,10.6123,0.3519
coarsened,10.6392,0.4030
coarsened,10.6662,0.3082
coarsened,10.6932,0.3131
coarsened,10.7201,0.2820
coarsened,10.7471,0.2657
coarsened,10.7741,-0.1425
coarsened,10.8011,0.2040
coarsened,10.8280,-0.3930
coarsened,10.8550,-0.4184
coarsened,10.8820,-0.4021
coarsened,10.9089,-0.3861
coarsened,10.9359,-0.2687
coarsened,10.9629,-0.0819
coarsened,10.9898,0.2807
coarsened,11.0168,0.2838
coarsened,11.0438,0.3060
coarsened,11.0707,0.4175
coarsened,11.0977,0.2238
coarsened,11.1247,-0.4449
coarsened,11.1516,0.2924
coarsened,11.1786,0.3070
coarsened,11.2056,0.0000
coarsened,11.2326,-0.4406
coarsened,11.2595,-0.2685
coarsened,11.2865,0.3687
coarsened,11.3135,-0.3436
coarsened,11.3404,-0.3655
coarsened,11.3674,0.1506
coarsened,11.3944,0.1803
coarsened,11.4213,0.2109
coarsened,11.4483,-0.3460
coarsened,11.4753,0.2187
coarsened,11.5022,-0.2982
coarsened,11.5292,0.1293
coarsened,11.5562,-0.1587
coarsened,11.5831,-0.2899
coarsened,11.6101,0.2108
coarsened,11.6371,0.3588
coarsened,11.6641,-0.3012
coarsened,11.6910,-0.3867
coarsened,11.7180,-0.2409
coarsened,11.7450,-0.4162
coarsened,11.7719,-0.3159
coarsened,11.7989,0.3581
coarsened,11.8259,0.2666
coarsened,11.8528,0.4493
coarsened,11.8798,-0.3277
coarsened,11.9068,-0.3228
coarsened,11.9337,0.4401
coarsened,11.9607,0.4622
coarsened,11.9877,-0.3747
coarsened,12.0147,-0.3490
coarsened,12.0416,-0.3083
coarsened,12.0686,0.2275
coarsened,12.0956,-0.3696
coarsened,12.1225,-0.3706
coarsened,12.1495,0.2156
coarsened,12.1765,0.1447
coarsened,12.2034,0.2024
coarsened,12.2304,-0.3465
coarsened,12.2574,0.4277
coarsened,12.2843,-0.4295
coarsened,12.3113,-0.7118
coarsened,12.3383,0.2858
coarsened,12.3652,0.1462
coarsened,12.3922,0.3548
coarsened,12.4192,-0.3411
coarsened,12.4462,0.3283
coarsened,12.4731,-0.3518
coarsened,12.5001,0.5631
coarsened,12.5271,-0.4367
coarsened,12.5540,-0.1662
coarsened,12.5810,-0.3370
coarsened,12.6080,-0.4850
coarsened,12.6349,0.4657
coarsened,12.6619,0.4186
coarsened,12.6889,0.2066
coarsened,12.7158,0.2393
coarsened,12.7428,-0.1580
coarsened,12.7698,0.4511
coarsened,12.7968,-0.3325
coarsened,12.8237,-0.1761
coarsened,12.8507,-0.2512
coarsened,12.8777,0.3266
coarsened,12.9046,0.2255
coarsened,12.9316,0.1549
coarsened,12.9586,0.2097
coarsened,12.9855,0.3530
coarsened,13.0125,-0.2548
coarsened,13.0395,0.1714
coarsened,13.0664,0.2082
coarsened,13.0934,0.3171
coarsened,13.1204,-0.3183
coarsened,13.1473,-0.2175
coarsened,13.1743,0.0980
coarsened,13.2013,0.1937
coarsened,13.2283,-0.1870
coarsened,13.2552,0.2550
coarsened,13.2822,-0.3977
coarsened,13.3092,-0.2768
coarsened,13.3361,0.1620
coarsened,13.3631,-0.2605
coarsened,13.3901,-0.3455
coarsened,13.4170,0.4434
coarsened,13.4440,0.2555
coarsened,13.4710,-0.5050
coarsened,13.4979,0.3486
coarsened,13.5249,0.6046
coarsened,13.5519,0.6082
coarsened,13.5788,-0.3496
coarsened,13.6058,-0.2668
coarsened,13.6328,0.3038
coarsened,13.6598,-0.3095
coarsened,13.6867,0.1872
coarsened,13.7137,0.3053
coarsened,13.7407,0.2357
coarsened,13.7676,0.4077
coarsened,13.7946,-0.1742
coarsened,13.8216,0.4865
coarsened,13.8485,-0.2216
coarsened,13.8755,0.3837
coarsened,13.9025,0.4110
coarsened,13.9294,0.2485
coarsened,13.9564,0.2252
coarsened,13.9834,-0.3393
coarsened,14.0104,-0.3072
coarsened,14.0373,-0.3207
coarsened,14.0643,0.2203
coarsened,14.0913,-0.1117
coarsened,14.1182,0.2388
coarsened,14.1452,0.2594
coarsened,14.1722,0.2056
coarsened,14.1991,0.1879
coarsened,14.2261,0.2319
coarsened,14.2531,0.2415
coarsened,14.2800,0.2510
coarsened,14.3070,0.3067
coarsened,14.3340,0.2714
coarsened,14.3609,0.4245
coarsened,14.3879,0.2047
coarsened,14.4149,0.2400
coarsened,14.4419,0.2089
coarsened,14.4688,0.3393
coarsened,14.4958,0.3245
coarsened,14.5228,0.2478
coarsened,14.5497,0.4990
coarsened,14.5767,0.2381
coarsened,14.6037,0.2506
coarsened,14.6306,-0.2618
coarsened,14.6576,-0.0175
coarsened,14.6846,-0.2395
coarsened,14.7115,-0.1255
coarsened,14.7385,0.4813
coarsened,14.7655,-0.3531
coarsened,14.7924,0.5512
coarsened,14.8194,0.3949
coarsened,14.8464,0.4804
coarsened,14.8734,0.2999
coarsened,14.9003,0.3503
coarsened,14.9273,0.1436
coarsened,14.9543,0.1544
coarsened,14.9812,0.4209
coarsened,15.0082,0.2155
coarsened,15.0352,-0.2838
coarsened,15.0621,0.5889
coarsened,15.0891,-0.3290
coarsened,15.1161,-0.3074
coarsened,15.1430,0.2642
coarsened,15.1700,-0.2419
coarsened,15.1970,-0.4010
coarsened,15.2240,0.2234
coarsened,15.2509,-0.3645
coarsened,15.2779,0.2793
coarsened,15.3049,0.2962
coarsened,15.3318,0.4705
coarsened,15.3588,0.6723
coarsened,15.3858,-0.4261
coarsened,15.4127,-0.4807
coarsened,15.4397,-0.3674
coarsened,15.4667,-0.2244
coarsened,15.4936,0.2623
coarsened,15.5206,-0.4415
coarsened,15.5476,0.2084
coarsened,15.5745,0.3016
coarsened,15.6015,-0.3756
coarsened,15.6285,0.3559
coarsened,15.6555,0.1467
coarsened,15.6824,-0.2447
coarsened,15.7094,-0.1814
coarsened,15.7364,0.3784
coarsened,15.7633,0.4528
coarsened,15.7903,0.3652
coarsened,15.8173,-0.1295
coarsened,15.8442,0.1493
coarsened,15.8712,-0.3998
coarsened,15.8982,0.3425
coarsened,15.9251,0.1320
coarsened,15.9521,0.5257
coarsened,15.9791,-0.4807
coarsened,16.0061,0.4147
coarsened,16.0330,0.2128
coarsened,16.0600,0.2738
coarsened,16.0870,0.3462
coarsened,16.1139,0.5144
coarsened,16.1409,0.4772
coarsened,16.1679,-0.1266
coarsened,16.1948,-0.1494
coarsened,16.2218,-0.3249
coarsened,16.2488,0.3117
coarsened,16.2757,0.1471
coarsened,16.3027,-0.3713
coarsened,16.3297,-0.4708
coarsened,16.3566,-0.4073
coarsened,16.3836,-0.3565
coarsened,16.4106,-0.2690
coarsened,16.4376,0.3101
coarsened,16.4645,-0.2385
coarsened,16.4915,0.2470
coarsened,16.5185,0.3691
coarsened,16.5454,0.2342
coarsened,16.5724,-0.3282
coarsened,16.5994,-0.6270
coarsened,16.6263,-0.4483
coarsened,16.6533,-0.4552
coarsened,16.6803,-0.5472
coarsened,16.7072,0.2759
coarsened,16.7342,-0.3707
coarsened,16.7612,-0.0692
coarsened,16.7881,0.1467
coarsened,16.8151,-0.2086
coarsened,16.8421,-0.3553
coarsened,16.8691,-0.2213
coarsened,16.8960,0.2983
coarsened,16.9230,0.2576
coarsened,16.9500,-0.4285
coarsened,16.9769,-0.3246
coarsened,17.0039,-0.3382
coarsened,17.0309,-0.5893
coarsened,17.0578,-0.3996
coarsened,17.0848,0.1879
coarsened,17.1118,0.2537
coarsened,17.1387,0.2660
coarsened,17.1657,0.3714
coarsened,17.1927,-0.2097
coarsened,17.2197,0.2534
coarsened,17.2466,0.3090
coarsened,17.2736,0.1671
coarsened,17.3006,0.2625
coarsened,17.3275,0.1900
coarsened,17.3545,0.2181
coarsened,17.3815,-0.2411
coarsened,17.4084,-0.4604
coarsened,17.4354,0.2709
coarsened,17.4624,0.2100
coarsened,17.4893,0.2331
coarsened,17.5163,-0.4073
coarsened,17.5433,0.1841
coarsened,17.5702,-0.2115
coarsened,17.5972,-0.3835
coarsened,17.6242,0.2474
coarsened,17.6512,0.3183
coarsened,17.6781,0.3328
coarsened,17.7051,0.2350
coarsened,17.7321,0.3366
coarsened,17.7590,-0.2628
coarsened,17.7860,-0.2640
coarsened,17.8130,0.2615
coarsened,17.8399,0.3029
coarsened,17.8669,-0.1846
coarsened,17.8939,-0.4380
coarsened,17.9208,0.2543
coarsened,17.9478,-0.4621
coarsened,17.9748,0.4208
coarsened,18.0018,0.4215
coarsened,18.0287,0.3833
coarsened,18.0557,0.3373
coarsened,18.0827,-0.3765
coarsened,18.1096,-0.3800
coarsened,18.1366,-0.2241
coarsened,18.1636,-0.2874
coarsened,18.1905,-0.1251
coarsened,18.2175,0.3791
coarsened,18.2445,0.3853
coarsened,18.2714,0.2880
coarsened,18.2984,0.2194
coarsened,18.3254,0.3052
coarsened,18.3523,0.2056
coarsened,18.3793,0.4313
coarsened,18.4063,-0.2308
coarsened,18.4333,-0.0288
coarsened,18.4602,0.2520
coarsened,18.4872,0.3272
coarsened,18.5142,0.3321
coarsened,18.5411,-0.1720
coarsened,18.5681,0.1991
coarsened,18.5951,0.3048
coarsened,18.6220,-0.5091
coarsened,18.6490,-0.1622
coarsened,18.6760,-0.1153
coarsened,18.7029,0.1172
coarsened,18.7299,0.3065
coarsened,18.7569,0.2614
coarsened,18.7838,-0.3470
coarsened,18.8108,-0.4109
coarsened,18.8378,0.1288
coarsened,18.8648,0.2384
coarsened,18.8917,0.4280
coarsened,18.9187,0.4865
coarsened,18.9457,0.3212
coarsened,18.9726,0.1930
coarsened,18.9996,0.2671
coarsened,19.0266,0.3192
coarsened,19.0535,0.3411
coarsened,19.0805,0.2086
coarsened,19.1075,-0.3289
coarsened,19.1344,-0.2157
coarsened,19.1614,0.4020
coarsened,19.1884,0.4281
coarsened,19.2154,-0.1681
coarsened,19.2423,-0.2001
coarsened,19.2693,-0.4571
coarsened,19.2963,0.2956
coarsened,19.3232,0.4895
coarsened,19.3502,0.2369
coarsened,19.3772,-0.2965
coarsened,19.4041,-0.1931
coarsened,19.4311,-0.3735
coarsened,19.4581,-0.1490
coarsened,19.4850,0.0916
coarsened,19.5120,-0.2644
coarsened,19.5390,0.2384
coarsened,19.5659,0.3854
coarsened,19.5929,0.4885
coarsened,19.6199,-0.2032
coarsened,19.6469,-0.4231
coarsened,19.6738,-0.3354
coarsened,19.7008,-0.3336
coarsened,19.7278,-0.2730
coarsened,19.7547,0.4757
coarsened,19.7817,-0.3366
coarsened,19.8087,0.3104
coarsened,19.8356,-0.2725
coarsened,19.8626,0.3026
coarsened,19.8896,-0.4599
coarsened,19.9165,0.1673
coarsened,19.9435,0.3849
coarsened,19.9705,0.3400
coarsened,19.9975,0.4080
coarsened,20.0244,-0.1404
coarsened,20.0514,-0.4863
coarsened,20.0784,0.2884
coarsened,20.1053,0.2235
coarsened,20.1323,0.2684
coarsened,20.1593,-0.3241
coarsened,20.1862,-0.2297
coarsened,20.2132,-0.1604
coarsened,20.2402,-0.1889
coarsened,20.2671,-0.2770
coarsened,20.2941,0.1413
coarsened,20.3211,0.2130
coarsened,20.3480,0.5732
coarsened,20.3750,0.4239
coarsened,20.4020,0.1851
coarsened,20.4290,0.4752
coarsened,20.4559,0.2018
coarsened,20.4829,-0.1905
coarsened,20.5099,-0.3027
coarsened,20.5368,0.4187
coarsened,20.5638,-0.2428
coarsened,20.5908,0.5110
coarsened,20.6177,-0.4074
coarsened,20.6447,0.3806
coarsened,20.6717,0.4431
coarsened,20.6986,0.3455
coarsened,20.7256,0.2231
coarsened,20.7526,0.2986
coarsened,20.7795,0.1312
coarsened,20.8065,-0.1920
coarsened,20.8335,0.3214
coarsened,20.8605,0.3647
coarsened,20.8874,-0.4080
coarsened,20.9144,0.2327
coarsened,20.9414,0.0000
coarsened,20.9683,-0.3205
coarsened,20.9953,-0.4384
coarsened,21.0223,0.0000
coarsened,21.0492,0.1017
coarsened,21.0762,0.0684
coarsened,21.1032,0.2850
coarsened,21.1301,-0.1199
coarsened,21.1571,0.2993
coarsened,21.1841,0.6080
coarsened,21.2111,-0.4855
coarsened,21.2380,0.3659
coarsened,21.2650,-0.3777
coarsened,21.2920,0.2409
coarsened,21.3189,0.2712
coarsened,21.3459,-0.2820
coarsened,21.3729,0.2092
coarsened,21.3998,0.2417
coarsened,21.4268,0.3403
coarsened,21.4538,0.3868
coarsened,21.4807,-0.2191
coarsened,21.5077,0.3457
coarsened,21.5347,0.3398
coarsened,21.5616,-0.4273
coarsened,21.5886,-0.0152
coarsened,21.6156,-0.4950
coarsened,21.6426,-0.3036
coarsened,21.6695,0.2657
coarsened,21.6965,0.3296
coarsened,21.7235,-0.2606
coarsened,21.7504,0.0000
coarsened,21.7774,-0.3533
coarsened,21.8044,0.2065
coarsened,21.8313,0.0390
coarsened,21.8583,0.4494
coarsened,21.8853,-0.1454
coarsened,21.9122,0.1138
coarsened,21.9392,0.1829
coarsened,21.9662,0.1878
coarsened,21.9932,-0.3329
coarsened,22.0201,0.1519
coarsened,22.0471,0.3583
coarsened,22.0741,0.3533
coarsened,22.1010,0.4538
coarsened,22.1280,-0.3274
coarsened,22.1550,0.1926
coarsened,22.1819,0.3514
coarsened,22.2089,0.2248
coarsened,22.2359,0.2635
coarsened,22.2628,0.2613
coarsened,22.2898,-0.1816
coarsened,22.3168,0.4727
coarsened,22.3437,0.4896
coarsened,22.3707,0.0989
coarsened,22.3977,0.3400
coarsened,22.4247,0.1909
coarsened,22.4516,0.1546
coarsened,22.4786,-0.3111
coarsened,22.5056,-0.2591
coarsened,22.5325,-0.2366
coarsened,22.5595,0.4803
coarsened,22.5865,-0.2830
coarsened,22.6134,-0.3027
coarsened,22.6404,0.3691
coarsened,22.6674,0.1259
coarsened,22.6943,0.2177
coarsened,22.7213,0.2065
coarsened,22.7483,0.4066
coarsened,22.7752,0.2960
coarsened,22.8022,-0.0593
coarsened,22.8292,0.2301
coarsened,22.8562,0.0519
coarsened,22.8831,0.0000
coarsened,22.9101,-0.2012
coarsened,22.9371,-0.2136
coarsened,22.9640,0.1701
coarsened,22.9910,0.3728
coarsened,23.0180,0.2579
coarsened,23.0449,0.4409
coarsened,23.0719,0.4103
coarsened,23.0989,0.3928
coarsened,23.1258,0.2894
coarsened,23.1528,0.2946
coarsened,23.1798,0.3414
coarsened,23.2068,0.3026
coarsened,23.2337,-0.3151
coarsened,23.2607,0.1589
coarsened,23.2877,0.2611
coarsened,23.3146,-0.4962
coarsened,23.3416,0.3426
coarsened,23.3686,0.3248
coarsened,23.3955,-0.4672
coarsened,23.4225,0.4179
coarsened,23.4495,-0.1908
coarsened,23.4764,0.2169
coarsened,23.5034,0.2273
coarsened,23.5304,0.1372
coarsened,23.5573,-0.2016
coarsened,23.5843,-0.4909
coarsened,23.6113,-0.3001
coarsened,23.6383,-0.4395
coarsened,23.6652,-0.2529
coarsened,23.6922,0.3130
coarsened,23.7192,0.2846
coarsened,23.7461,0.2385
coarsened,23.7731,0.3736
coarsened,23.8001,0.6118
coarsened,23.8270,0.0261
coarsened,23.8540,0.1848
coarsened,23.8810,0.1776
coarsened,23.9079,0.2271
coarsened,23.9349,0.4854
coarsened,23.9619,0.2809
coarsened,23.9888,0.1401
coarsened,24.0158,-0.3424
coarsened,24.0428,-0.2181
coarsened,24.0698,-0.3460
coarsened,24.0967,-0.2024
coarsened,24.1237,-0.3277
coarsened,24.1507,-0.1422
coarsened,24.1776,0.3535
coarsened,24.2046,0.3035
coarsened,24.2316,0.2058
coarsened,24.2585,0.3034
coarsened,24.2855,0.1217
coarsened,24.3125,-0.2845
coarsened,24.3394,-0.2554
coarsened,24.3664,0.2950
coarsened,24.3934,0.4343
coarsened,24.4204,0.1932
coarsened,24.4473,-0.2536
coarsened,24.4743,-0.1357
coarsened,24.5013,-0.1965
coarsened,24.5282,-0.3118
coarsened,24.5552,-0.4648
coarsened,24.5822,0.1836
